Designator,Mid X,Mid Y,Rotation,Layer
BT1,60.5,-133.0,180.0,bottom
BZ1,109.5,-86.0,270.0,top
C1,88.5,-106.0,270.0,top
C10,109.3625,-110.75,0.0,top
C2,92.5,-79.24,0.0,top
C3,91.5,-84.0,180.0,top
C4,96.5,-78.0,270.0,top
C5,91.5,-92.0,180.0,top
C6,96.5,-74.0,90.0,top
C7,91.3625,-101.0,180.0,top
C8,95.3625,-101.0,0.0,top
C9,64.5,-126.0,180.0,bottom
D1,95.5,-115.0,180.0,top
D10,122.8,-114.75,270.0,top
D2,95.5,-118.0,180.0,top
D3,95.5,-121.0,180.0,top
D7,44.78,-117.75,0.0,top
D8,52.8,-124.18,90.0,top
D9,122.8,-125.6,90.0,top
J1,40.6,-124.0,180.0,top
J12,124.73,-90.24,90.0,top
J14,108.5,-70.45,0.0,top
J2,49.5,-130.0,270.0,top
J3,130.6,-124.875,0.0,top
J4,129.5,-115.0,0.0,top
J5,42.95,-77.0,90.0,top
J7,42.5,-92.0,90.0,top
R1,63.5,-115.0,90.0,top
R10,90.5,-118.0,0.0,top
R11,90.5,-121.0,0.0,top
R15,119.8,-74.8,90.0,top
R2,63.5,-111.0,270.0,top
R9,90.4125,-115.0,0.0,top
S1,39.4,-111.25,90.0,top
TP1_2,101.0,-66.5,90.0,top
TP1,116.0,-134.6,180.0,top
TP19,50.5,-73.0,0.0,top
TP2,53.5,-101.75,180.0,top
TP20,50.5,-81.0,0.0,top
TP21,50.05,-95.25,180.0,top
TP22,50.05,-89.0,180.0,top
TP3,59.4,-101.75,180.0,top
TP4,101.0,-70.5,90.0,top
U1,53.5,-111.0,270.0,top
U2,92.75,-76.0,0.0,top
U3,92.5,-88.0,0.0,top
U4,92.5,-106.925,0.0,top
U7,75.88,-99.13,90.0,top
U8,92.5,-96.9125,0.0,top
U9,109.5,-123.0,90.0,top
